category,color_brightness,entropy,ID,instruction,instruction_type,Descript,param_ratio,Code,unit_n,verify
Articles of clothing and haberdashery,Very Bright,5.077251017,7b0a5910-d7ef-47c1-9040-4da712e8d463,"Let's create a 3D model of a birthday cake. The cake should be two-tiered, with a simple frosting design. Place a few candles on the top tier, and make sure they are evenly spaced. The cake should look ready to be served at a birthday party.",Specific Usage Question,Birthday Cake,3.333333333,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
cake_color = bpy.data.materials.new(name=""Cake Color"")
cake_color.diffuse_color = (0.8, 0.6, 0.4, 1)  # Light brown color for cake
frosting_color = bpy.data.materials.new(name=""Frosting Color"")
frosting_color.diffuse_color = (1, 0.8, 0.8, 1)  # Light pink color for frosting
candle_color = bpy.data.materials.new(name=""Candle Color"")
candle_color.diffuse_color = (1, 0, 0, 1)  # Red color for candles

# Step 2: Create the Bottom Tier
bpy.ops.mesh.primitive_cylinder_add(radius=1, depth=0.5, location=(0, 0, 0.25))
bottom_tier = bpy.context.object
bottom_tier.name = ""Bottom Tier""
bottom_tier.data.materials.append(cake_color)

# Step 3: Create the Top Tier
bpy.ops.mesh.primitive_cylinder_add(radius=0.75, depth=0.5, location=(0, 0, 0.75))
top_tier = bpy.context.object
top_tier.name = ""Top Tier""
top_tier.data.materials.append(cake_color)

# Step 4: Create the Frosting
bpy.ops.mesh.primitive_cylinder_add(radius=1.05, depth=0.1, location=(0, 0, 0.3))
bottom_frosting = bpy.context.object
bottom_frosting.name = ""Bottom Frosting""
bottom_frosting.data.materials.append(frosting_color)

bpy.ops.mesh.primitive_cylinder_add(radius=0.85, depth=0.1, location=(0, 0, 0.85))
top_frosting = bpy.context.object
top_frosting.name = ""Top Frosting""
top_frosting.data.materials.append(frosting_color)

# Step 5: Create the Candles
for i in range(8):
    angle = i * (2 * math.pi / 8)
    x = 0.6 * math.cos(angle)
    y = 0.6 * math.sin(angle)
    bpy.ops.mesh.primitive_cylinder_add(radius=0.05, depth=0.3, location=(x, y, 1.1))
    candle = bpy.context.object
    candle.name = f""Candle {i + 1}""
    candle.data.materials.append(candle_color)",12,gpt
"Household goods, not elsewhere specified",Dark,3.728288613,5c0aa6a7-9446-407e-bd60-1b96eb618a5a,Please create a 3D model of a bookshelf. The bookshelf should have multiple shelves for storing books.,Verbal Question,Bookshelf,4.333333333,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the color for the bookshelf
wood_color = bpy.data.materials.new(name=""Wood"")
wood_color.diffuse_color = (0.55, 0.27, 0.07, 1)  # Brown wood color

# Step 2: Create the Shelves
shelf_height = 0.1
shelf_depth = 0.2
shelf_width = 0.5
num_shelves = 5
shelf_spacing = 0.4

for i in range(num_shelves):
    bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, i * shelf_spacing))
    shelf = bpy.context.object
    shelf.scale = (shelf_width / 2, shelf_depth / 2, shelf_height / 2)
    shelf.name = f""Shelf {i + 1}""
    shelf.data.materials.append(wood_color)

# Step 3: Create the Side Panels
panel_thickness = 0.05
panel_height = num_shelves * shelf_spacing

for i in range(2):
    x = (shelf_width / 2) * (i * 2 - 1)
    bpy.ops.mesh.primitive_cube_add(size=2, location=(x, 0, panel_height / 2))
    panel = bpy.context.object
    panel.scale = (panel_thickness / 2, shelf_depth / 2, panel_height / 2)
    panel.name = f""Side Panel {i + 1}""
    panel.data.materials.append(wood_color)",3,gpt
"Graphic symbols and logos, surface patterns, ornamentation, arrangement of interiors and exteriors",Dark,5.040669262,5c8010cb-3fb3-44f9-a1fd-316c6337a65a,Create a hat with a wide brim and a rounded crown. Add a simple band around the base of the crown for decoration.,Feeling Question,Hat,8,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
hat_color = bpy.data.materials.new(name=""HatColor"")
hat_color.diffuse_color = (0.5, 0.25, 0.1, 1)  # Brown color
band_color = bpy.data.materials.new(name=""BandColor"")
band_color.diffuse_color = (0.1, 0.1, 0.1, 1)  # Dark color

# Step 2: Create the Brim
bpy.ops.mesh.primitive_cylinder_add(radius=1.5, depth=0.1, location=(0, 0, 0))
brim = bpy.context.object
brim.name = ""Brim""
brim.data.materials.append(hat_color)

# Step 3: Create the Crown
bpy.ops.mesh.primitive_uv_sphere_add(radius=0.75, location=(0, 0, 0.5))
crown = bpy.context.object
crown.name = ""Crown""
crown.data.materials.append(hat_color)

# Step 4: Create the Band
bpy.ops.mesh.primitive_cylinder_add(radius=0.85, depth=0.2, location=(0, 0, 0.3))
band = bpy.context.object
band.name = ""Band""
band.data.materials.append(band_color)",3,gpt
"Games, toys, tents and sports goods",Medium Bright,3.173102701,5d92a2e6-0e4e-4212-bb40-a48c2702b8b8,Create a simple sofa with a rectangular seat and backrest. Include armrests on both sides.,Feeling Question,Sofa,4.25,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
sofa_color = bpy.data.materials.new(name=""Sofa Color"")
sofa_color.diffuse_color = (0.5, 0.25, 0.25, 1)  # Medium brown color

# Step 2: Create the Seat
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.5))
seat = bpy.context.object
seat.scale = (2, 1, 0.2)
seat.name = ""Seat""
seat.data.materials.append(sofa_color)

# Step 3: Create the Backrest
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, -0.75, 1.1))
backrest = bpy.context.object
backrest.scale = (2, 0.1, 0.6)
backrest.name = ""Backrest""
backrest.data.materials.append(sofa_color)

# Step 4: Create the Armrests
for i in range(2):
    x = 1.9 * (i * 2 - 1)
    bpy.ops.mesh.primitive_cube_add(size=2, location=(x, 0, 0.75))
    armrest = bpy.context.object
    armrest.scale = (0.1, 1, 0.4)
    armrest.name = f""Armrest {i + 1}""
    armrest.data.materials.append(sofa_color)",4,gpt
Articles for the care and handling of animals,Medium Bright,5.531747948,6b20f217-2ad7-4dee-8ab4-8f42a27fb203,Create a 3D model of a transformer used in electrical systems. It should have a cylindrical body with coils visible on the outside.,Feeling Question,Transformer,5,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
body_color = bpy.data.materials.new(name=""Body Color"")
body_color.diffuse_color = (0.5, 0.5, 0.5, 1)  # Gray color for the body
coil_color = bpy.data.materials.new(name=""Coil Color"")
coil_color.diffuse_color = (0.1, 0.1, 0.1, 1)  # Dark gray color for the coils

# Step 2: Create the Body
bpy.ops.mesh.primitive_cylinder_add(radius=1, depth=2, location=(0, 0, 0))
body = bpy.context.object
body.name = ""Body""
body.data.materials.append(body_color)

# Step 3: Create the Coils
for i in range(3):
    z = -0.6 + i * 0.6
    bpy.ops.mesh.primitive_torus_add(major_radius=1.1, minor_radius=0.1, location=(0, 0, z))
    coil = bpy.context.object
    coil.name = f""Coil {i + 1}""
    coil.data.materials.append(coil_color)",4,gpt
Means of transport or hoisting,Dark,2.2152355,6cc7bbc5-8f3c-46e6-96d1-f9697e3b6ea2,Design a simple rectangular coffee table.,Verbal Question,Coffee Table,4.5,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the color
wood_color = bpy.data.materials.new(name=""Wood"")
wood_color.diffuse_color = (0.55, 0.27, 0.07, 1)  # Wood color

# Step 2: Create the Table Top
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.5))
table_top = bpy.context.object
table_top.scale[0] = 2  # Length
table_top.scale[1] = 1  # Width
table_top.scale[2] = 0.1  # Thickness
table_top.name = ""Table Top""
table_top.data.materials.append(wood_color)

# Step 3: Create the Legs
leg_height = 0.5
leg_radius = 0.05
positions = [(-1.9, -0.9, leg_height / 2), (1.9, -0.9, leg_height / 2), (-1.9, 0.9, leg_height / 2), (1.9, 0.9, leg_height / 2)]

for i, pos in enumerate(positions):
    bpy.ops.mesh.primitive_cylinder_add(radius=leg_radius, depth=leg_height, location=pos)
    leg = bpy.context.object
    leg.name = f""Leg {i + 1}""
    leg.data.materials.append(wood_color)",2,gpt
Foodstuffs,Medium Bright,2.995732274,6d5bbe2b-abf7-4a7c-b37f-be44e04f2009,"Design a 3D model of a sandwich. It should have two slices of bread with layers of filling in between. Include lettuce, tomato, and cheese as visible ingredients.",Design Question,Sandwich,8,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
bread_color = bpy.data.materials.new(name=""Bread"")
bread_color.diffuse_color = (0.96, 0.87, 0.70, 1)  # Light brown color for bread
lettuce_color = bpy.data.materials.new(name=""Lettuce"")
lettuce_color.diffuse_color = (0.13, 0.55, 0.13, 1)  # Green color for lettuce
tomato_color = bpy.data.materials.new(name=""Tomato"")
tomato_color.diffuse_color = (0.8, 0.1, 0.1, 1)  # Red color for tomato
cheese_color = bpy.data.materials.new(name=""Cheese"")
cheese_color.diffuse_color = (1, 0.83, 0, 1)  # Yellow color for cheese

# Step 2: Create the Bottom Slice of Bread
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0))
bottom_bread = bpy.context.object
bottom_bread.scale[2] = 0.1  # Flatten the cube to make it a slice of bread
bottom_bread.name = ""Bottom Bread""
bottom_bread.data.materials.append(bread_color)

# Step 3: Create the Lettuce Layer
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.2))
lettuce = bpy.context.object
lettuce.scale[2] = 0.05  # Flatten the cube to make it a layer of lettuce
lettuce.name = ""Lettuce""
lettuce.data.materials.append(lettuce_color)

# Step 4: Create the Tomato Layer
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.3))
tomato = bpy.context.object
tomato.scale[2] = 0.05  # Flatten the cube to make it a layer of tomato
tomato.name = ""Tomato""
tomato.data.materials.append(tomato_color)

# Step 5: Create the Cheese Layer
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.4))
cheese = bpy.context.object
cheese.scale[2] = 0.05  # Flatten the cube to make it a layer of cheese
cheese.name = ""Cheese""
cheese.data.materials.append(cheese_color)

# Step 6: Create the Top Slice of Bread
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.6))
top_bread = bpy.context.object
top_bread.scale[2] = 0.1  # Flatten the cube to make it a slice of bread
top_bread.name = ""Top Bread""
top_bread.data.materials.append(bread_color)",5,gpt
Articles of clothing and haberdashery,Bright,4.06116244,6e4486f2-4d92-4bc2-ae77-1afc44f13d88,How would a table lamp look in 3D?,Feature Question,Table Lamp,8.666666667,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
lamp_base_color = bpy.data.materials.new(name=""Lamp Base Color"")
lamp_base_color.diffuse_color = (0.2, 0.2, 0.2, 1)  # Dark gray color
lamp_shade_color = bpy.data.materials.new(name=""Lamp Shade Color"")
lamp_shade_color.diffuse_color = (1, 1, 1, 0.8)  # Light gray color with a bit of transparency

# Step 2: Create the Base
bpy.ops.mesh.primitive_cylinder_add(radius=0.5, depth=0.1, location=(0, 0, 0))
base = bpy.context.object
base.name = ""Lamp Base""
base.data.materials.append(lamp_base_color)

# Step 3: Create the Pole
bpy.ops.mesh.primitive_cylinder_add(radius=0.05, depth=1, location=(0, 0, 0.55))
pole = bpy.context.object
pole.name = ""Lamp Pole""
pole.data.materials.append(lamp_base_color)

# Step 4: Create the Shade
bpy.ops.mesh.primitive_cone_add(radius1=0.6, radius2=0.2, depth=0.8, location=(0, 0, 1.4))
shade = bpy.context.object
shade.name = ""Lamp Shade""
shade.data.materials.append(lamp_shade_color)",3,gpt
Tools and hardware,Medium Bright,2.2152355,6efec021-8c26-4a86-a211-3960a097b551,Create a simple coffee table with a rectangular top and four straight legs.,Design Question,Coffee Table,2,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Step 2: Create the Table Top
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.75))
table_top = bpy.context.object
table_top.scale[0] = 2  # Scale along X-axis
table_top.scale[1] = 1  # Scale along Y-axis
table_top.scale[2] = 0.1  # Scale along Z-axis

# Step 3: Create the Legs
leg_height = 0.75
leg_radius = 0.05

leg_positions = [(-1.9, -0.9, leg_height / 2), (1.9, -0.9, leg_height / 2), (-1.9, 0.9, leg_height / 2), (1.9, 0.9, leg_height / 2)]

for i, pos in enumerate(leg_positions):
    bpy.ops.mesh.primitive_cylinder_add(radius=leg_radius, depth=leg_height, location=pos)
    leg = bpy.context.object
    leg.name = f""Leg {i + 1}""",2,gpt
Means of transport or hoisting,Medium Bright,2.995732274,4c878205-076f-48ea-bf2e-ea5e8203fcdd,"Let's create a simple 3D model of a sandwich. The sandwich should consist of two slices of bread, with a layer of lettuce, a slice of tomato, and a piece of cheese between them. The bread should be rectangular and the fillings should be neatly aligned within the bread slices.",Decoration Question,Sandwich,8,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
bread_color = bpy.data.materials.new(name=""Bread"")
bread_color.diffuse_color = (0.9, 0.7, 0.5, 1)  # Light brown color for bread
lettuce_color = bpy.data.materials.new(name=""Lettuce"")
lettuce_color.diffuse_color = (0.2, 0.8, 0.2, 1)  # Green color for lettuce
tomato_color = bpy.data.materials.new(name=""Tomato"")
tomato_color.diffuse_color = (0.8, 0.1, 0.1, 1)  # Red color for tomato
cheese_color = bpy.data.materials.new(name=""Cheese"")
cheese_color.diffuse_color = (1, 0.9, 0.1, 1)  # Yellow color for cheese

# Step 2: Create the Bottom Slice of Bread
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0))
bottom_bread = bpy.context.object
bottom_bread.name = ""Bottom Bread""
bottom_bread.scale[2] = 0.1  # Flatten the cube to make it a slice of bread
bottom_bread.data.materials.append(bread_color)

# Step 3: Create the Lettuce Layer
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.2))
lettuce = bpy.context.object
lettuce.name = ""Lettuce""
lettuce.scale[2] = 0.05  # Flatten the cube to make it a layer of lettuce
lettuce.data.materials.append(lettuce_color)

# Step 4: Create the Tomato Slice
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.3))
tomato = bpy.context.object
tomato.name = ""Tomato""
tomato.scale[2] = 0.05  # Flatten the cube to make it a slice of tomato
tomato.data.materials.append(tomato_color)

# Step 5: Create the Cheese Layer
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.4))
cheese = bpy.context.object
cheese.name = ""Cheese""
cheese.scale[2] = 0.05  # Flatten the cube to make it a layer of cheese
cheese.data.materials.append(cheese_color)

# Step 6: Create the Top Slice of Bread
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.6))
top_bread = bpy.context.object
top_bread.name = ""Top Bread""
top_bread.scale[2] = 0.1  # Flatten the cube to make it a slice of bread
top_bread.data.materials.append(bread_color)",5,gpt
